1,202.64
2,166.81
3,181.09
4,157.53
1,170.84
2,173.87
3,146.98
4,179.73
1,139.06
2,152.78
3,161.09
4,142.35
1,176.25
2,163.18
3,99.869
4,148.7
1,223.79
2,157.91
3,155.31
4,107.48
1,129.52
2,155.36
3,134.1
4,149.43
1,144.84
2,143.71
3,145.04
4,139.8
1,131.59
2,161.55
3,166.87
4,151.74
1,162.75
2,171.79
3,151.08
4,157.1
1,175.13
2,181.78
3,164.75
4,243.92
1,374.53
2,194.31
3,141.17
4,141.19
1,158.79
2,142.63
3,129.9
4,123.73
1,158.9
2,138.62
3,154.23
4,192.09
1,135.88
2,173.37
3,156.62
4,210.8
1,154.49
2,182.25
3,150.51
4,176.56
1,201.86
2,148.04
3,174.44
4,163.88
1,151.52
2,225.42
3,134.99
4,121.38
1,175.04
2,177.33
3,164.67
4,162
1,191.85
2,197.44
3,144.16
4,118.25
1,148.91
2,151.19
3,134.44
4,131.05
1,154.83
2,143.81
3,129.97
4,151.05
1,142.9
2,152.94
3,152.76
4,145.07
1,162.3
2,146.96
3,151.52
4,175.29
1,155.82
2,154.37
3,172.65
4,144.34
1,157.98
2,162.2
3,159.97
4,170.35
1,167.96
2,184.79
3,216.39
4,175.66
1,209.67
2,220.08
3,165.98
4,152.68
1,214.12
2,342.88
3,144.06
4,173.44
1,166.14
2,157.94
3,156.77
4,202.57
1,153.23
2,183.75
3,202.9
4,118.45
1,161.17
2,172
3,181.39
4,144.56
1,171.42
2,177.45
3,189.83
4,211.5
1,246.43
2,182.42
3,183.09
4,211.68
1,155.24
2,176.58
3,184.71
4,177.89
1,181.36
2,174.46
3,228.38
4,225.56
1,235.16
2,253.6
3,233.39
4,235.4
1,239.15
2,230.77
3,237.85
4,232.43
1,233.01
2,257.96
3,247.63
4,233.9
1,261.2
2,259.6
3,267.04
4,290.45
1,271.05
2,267.82
3,250.95
4,267.73
1,265.97
2,269.17
3,231.39
4,223.79
1,248.41
2,251.32
3,439.5
4,248.15
1,213.09
2,325.45
3,210.44
4,205.34
1,250.93
2,228.09
3,248.39
4,250.06
1,228.98
2,200.18
3,212.35
4,213.98
1,202.88
2,204.38
3,208.37
4,197.07
1,214.89
2,216.95
3,270.4
4,206.43
1,252.19
2,213.32
3,266.06
4,273.93
1,253.51
2,260.8
3,249.62
4,280.91
1,242.99
2,271.26
3,213.97
4,253.84
1,260.99
2,272.73
3,255.15
4,281.77
1,272.43
2,274.46
3,273.99
4,226.03
1,219.71
2,262.11
3,258.22
4,245.46
1,219.97
2,234.96
3,229.04
4,227.42
1,216.87
2,215.64
3,226.99
4,217.53
1,216.62
2,197.17
3,180.54
4,164.41
1,180.45
2,195.01
3,195.67
4,211.88
1,180.41
2,189.23
3,159.59
4,195.18
1,190.72
2,188.87
3,153.27
4,165.99
1,157.7
2,124.04
3,128.27
4,140.13
1,173.51
2,166.7
3,160.62
4,171.64
1,196.73
2,178
3,211.72
4,212.36
1,266.86
2,232.53
